Atributo ;Significado 
;
Dependabilidade ;qualidade do servic_o fornecido por um dado sistema 
;
(dependability) ;
;
Confiabilidade ;capacidade de atender a especificac_a_o, dentro de condic_o_es definidas, durante certo peri_odo de funcionamento e condicionado a estar operacional no ini_cio do peri_odo 
;
(reliability) ;
;
Disponibilidade (availability) ;"probabilidade do sistema estar operacional num instante de tempo determinado; alterna_ncia de peri_odos de funcionamento e reparo "
;
Seguranc_a ;probabilidade do sistema ou estar operacional e executar sua func_a_o corretamente ou descontinuar suas func_o_es de forma a na_o provocar dano a outros sistema ou pessoas que dele dependam 
;
(safety) ;
;
Seguranc_a (security) ;protec_a_o contra falhas maliciosas, visando privacidade, autenticidade, integridade e irrepudiabilidade dos dados 
;
